chodzenie
{
-11,389	-2,419	0,565
-5,371	-0,557	0,478
-7,533	0,403	-1,855
-13,306	3,549	-4,516
-11,518	-0,039	3,803
-12,106	-2,348	-0,798
-6,781	0,141	-0,421
-6,719	-2,384	-2,826
-12,809	-1,732	-1,375
-11,611	-4,435	2,622
-12,177	-0,9	1,713
-9,856	-1,925	1,485
-6,777	0,106	-0,022
-10,634	-3,439	-0,678
-12,701	-3,564	0,095
-12,186	-2,508	2,393
-8,758	-0,199	2,142
-5,921	-0,355	0,843
-11,6	-2,214	-2,227
-12,914	-4,197	-5,739
-11,256	-1,41	5,417
-9,952	-2,442	3,538
-7,989	-0,405	1,54
-7,98	-0,966	-0,768
-9,132	0,715	0,864
-11,823	-2,443	1,6
-12,95	-4,161	1,742
-9,532	-2,508	1,179
-9,534	-1,825	0,293
-9,609	-1,064	-0,589
-12,719	-2,479	0,949
-9,326	-1,5	2,192
-9,918	-0,732	1,504
-10,15	-1,234	1,037
-10	-0,776	0,821
-10,336	-1,081	0,803
-10,299	-1,196	0,877
-9,891	-1,199	1,001
-10,076	-1,121	0,923
-10,185	-0,698	0,743
-10,041	-1,2	0,76
-10,035	-0,774	1,021
}

obrot
{
-10,002	-1,274	1,036
-9,964	-1,045	0,968
-10,188	-1,235	0,956
-9,997	-0,926	1,254
-10,186	-1,118	1,082
-9,706	-1,429	1,231
-9,446	-1,47	1,272
-9,526	-1,36	0,637
-10,615	-0,68	2,18
-10,455	-1,621	0,534
-10,789	0,019	-1,147
-9,688	0,112	1,469
-9,666	1,351	2,371
-9,728	-0,995	2,293
-9,434	-3,246	0,543
-14,355	-2,926	0,75
-9,099	-2,905	0,364
-10,159	-1,928	0,882
-9,785	-2,272	1,509
-8,974	-2,245	1,158
-9,885	-1,346	1,714
-10,137	-0,308	1,403
-11,068	-0,646	1,297
-9,553	-0,817	1,064
-10,085	-1,054	-0,074
-11,673	-0,729	0,087
-9,819	-0,859	0,459
-10,004	-1,123	0,724
-9,963	-1,235	1,199
-9,925	-0,853	0,898
-10,184	-0,888	0,974
-10,225	-1,044	0,806
-9,889	-1,045	1,009
-10,188	-1,197	0,918
}

chodzenie
{
-10,149	-1,347	1,311
-10,111	-1,27	1,315
-10,142	-0,96	1,531
-10,142	-1,113	1,683
-9,773	-1,117	1,606
-10,478	-0,921	1,249
-9,544	-3,434	0,933
-10,201	-3,19	1,578
-9,424	-3,046	1,393
-8,843	-2,682	-0,103
-12,256	-3,035	-0,354
-11,553	-4,414	4,704
-10,088	-0,905	3,214
-9,41	-2,004	1,726
-8,626	-1,015	1,423
-8,899	-0,912	-0,055
-10,167	0,119	1,744
-12,847	2,073	2,095
-11,948	-3,064	0,847
-8,847	-0,746	1,194
-6,629	-0,581	0,625
-10,911	-2,313	0,055
-16,203	-6,976	-2,231
-9,675	-0,449	7,001
-9,798	-3,007	1,032
-5,956	-0,163	0,812
-8,08	0,227	-0,789
-14,085	3,86	-4,988
-9,111	-0,787	4,47
-10,652	-2,049	-0,209
-7,14	0,535	0,235
-6,003	-2,037	-1,962
-14,272	-3,982	-0,982
-11,971	-3,811	3,05
-11,894	-1,258	0,778
-7,684	-1,388	-0,346
-6,757	0,051	-1,665
-10,57	-1,471	0,021
-16,147	1,645	2,201
-13,257	-2,302	-1,168
-7,861	-0,769	-0,117
-6,543	-1,863	-0,559
-10,167	1,413	0,369
-13,673	-2,078	-2,281
-10,993	0,648	3,762
-9,86	-3,795	2,992
-6,851	0,221	-0,137
-10,625	0,149	-3,379
-13,043	1,153	-5,473
-13,735	-2,181	2,794
-11,097	-0,029	1,408
-8,443	-0,867	0,992
-8,165	-1,46	-0,275
-9,195	-0,566	-0,44
-11,571	-3,173	-5,794
-12,159	-0,92	3,512
-9,462	-2,781	4,766
-9,878	-0,539	1,634
-8,645	-1,947	0,456
-11,58	0,925	4,01
-8,099	-1,393	2,649
-10,179	-1,188	1,759
-10,521	-1,041	0,803
-10,012	-1,55	0,342
-10,151	-1,197	0,959
-10,003	-0,894	0,615
-10,153	-0,552	0,031
-9,822	-0,824	0,101
-10,38	-0,935	0,009
-10,341	-0,705	-0,059
-9,824	-0,94	-0,025
-10,155	-0,934	0,292
-10,123	-1,244	0,077
}

obrot
{
-10,224	-0,891	0,693
-10,23	-0,82	0,057
-10,53	-1,469	0,301
-9,819	-1,201	0,802
-10,34	-0,856	0,174
-10,187	-0,51	0,313
-9,832	-0,416	2,441
-9,64	0,236	2,395
-9,995	-0,772	1,301
-10,154	-0,819	0,217
-10,555	0,258	-0,173
-10,718	1,348	0,96
-9,634	0,622	2,615
-8,88	-1,96	2,853
-9,765	-4,612	2,152
-12,373	-1,213	0,936
-11,017	-1,203	-0,53
-9,067	-0,55	1,282
-9,789	-2,275	1,148
-9,041	-2,39	1,95
-8,935	-3,348	2,423
-10,553	-2,139	2,428
-9,608	0,193	1,994
-10,296	-0,926	0,971
-10,667	-0,771	0,735
-9,921	-0,43	0,959
-10,464	0,616	1,086
-8,88	-0,931	1,825
-10,863	-1,388	0,302
-9,864	-1,171	-0,037
-10,156	-1,011	0,248
-10,227	-0,969	0,529
-10,41	-0,813	0,575
-10,336	-0,929	0,65
-10,116	-1,2	0,679
-10,039	-1,045	0,887
-10,224	-1,005	0,808
-10,189	-1,007	0,608
}

chodzenie
{
-9,849	-1,157	1,404
-10,257	-1,229	1,436
-9,927	-1,35	1,273
-10,254	-0,96	1,449
-10,293	-1,037	1,405
-9,886	-1,537	1,824
-9,89	-2,34	2,264
-10,227	-2,074	1,634
-9,532	-3,08	1,711
-8,382	-1,87	0,743
-9,868	-1,974	0,403
-13,784	-6,303	2,027
-8,342	-1,87	4,703
-9,907	-0,912	2,775
-7,434	-0,754	1,808
-7,821	-1,148	0,504
-8,09	-1,156	3,221
-12,88	0,783	0,07
-10,804	-2,015	3,111
-7,735	-1,174	1,744
-6,701	-0,388	0,634
-10,45	-1,462	-2,818
-14,153	-6,906	-4,727
-10,144	-0,963	5,05
-10,53	-2,344	1,217
-5,506	-0,2	1,455
-7,987	0,093	-2,515
-14,012	3,593	-4,76
-8,391	-2,452	4,073
-12,736	-2,19	-0,997
-6,735	0,377	0,151
-6,776	-1,719	-1,794
-13,153	-3,224	-0,973
-11,613	-5,2	6,864
-12,724	0,6	1,103
-7,501	-1,583	-0,394
-7,127	-0,097	-1,476
-10,025	-1,792	-0,75
-12,113	0,879	-1,117
-10,947	-2,35	0,213
-8,897	-0,148	-0,616
-6,756	-1,243	-0,29
-9,678	-1,134	0,047
-12,612	-4,882	-0,81
-9,953	-0,692	5,426
-10,158	-3,565	2,56
-7,062	0,5	0,674
-7,998	-0,718	-2,836
-10,628	2,544	-2,339
-13,223	0,433	3,169
-11,926	0,004	0,001
-8,041	-0,876	0,516
-8,017	-1,575	-0,119
-10,312	-0,751	-0,781
-13,99	-1,789	-8,309
-13,975	-4,827	11,019
-9,97	-1,7	4,695
-8,44	-0,978	1,467
-9,483	-1,05	0,853
-9,276	-1,753	0,06
-10,568	-1,735	0,528
-9,257	-1,353	1,56
-9,637	-1,435	0,712
-10,22	-0,582	0,829
-10,379	-1,238	0,394
-9,895	-1,05	0,489
-10,377	-1,046	0,404
-10,185	-0,851	0,896
-10,305	-1,277	0,433
-10,155	-1,468	0,745
-10,157	-1,47	0,545
}

obrot
{
-10,049	-1,093	-0,115
-10,048	-1,129	0,083
-9,971	-0,976	0,131
-10,042	-0,934	0,413
-10,147	-0,775	0,86
-10,175	-0,727	1,702
-9,9	-1,779	0,692
-9,886	-1,309	1,556
-10,343	-1,888	0,882
-12,783	-0,107	-0,453
-10,41	-0,471	0,192
-9,646	1,182	0,843
-9,744	0,701	2,698
-10,162	-0,143	2,451
-11,492	-0,392	-0,655
-10,103	-4,041	1,137
-10,737	-2,364	-0,946
-9,658	-2,636	-0,188
-9,677	-0,79	-0,256
-10,535	-4,52	2,829
-9,182	-0,667	0,995
-10,107	-0,696	1,064
-10,19	-1,008	0,568
-10,184	-0,393	0,478
-9,474	0,025	0,747
-11,247	-2,35	-0,11
-10,818	-0,468	0,108
-9,524	-1,13	0,568
-10,078	-0,742	0,382
-10,302	-0,779	0,218
-10,081	-0,897	0,174
}

chodzenie
{
-10,12	-1,051	0,206
-9,94	-1,438	0,069
-10,084	-1,281	0,315
-9,936	-1,511	0,505
-9,484	-1,013	0,775
-10,263	-1,197	0,798
-9,782	-1,355	0,914
-11,417	-1,153	0,228
-10,696	0,304	0,428
-9,816	-0,247	0,13
-10,092	-1,098	-0,676
-9,567	-0,793	-0,375
-11,988	-1,125	-1,376
-13,395	1,287	-0,07
-9,883	-0,925	1,495
-9,196	-1,823	0,777
-8,404	-1,056	1,423
-8,797	-2,14	0,245
-9,395	-1,111	-1,31
-11,703	-2,585	-1,006
-12,228	-5,367	1,089
-8,354	1,964	3,415
-9,829	-2,467	-2,702
-8,065	-0,673	1,566
-8,666	-0,409	0,453
-9,842	-1,567	-1,137
-12,143	-2,537	-4,328
-11,279	2,603	2,857
-12,062	-1,277	-1,264
-8,864	-1,143	-0,066
-7,497	-1,655	0,122
-9,708	-1,164	-2,995
-10,829	-3,942	-1,145
-12,37	-7,035	3,405
-10,067	1,324	3,126
-9,376	-3,036	2,434
-8,378	-0,458	-0,347
-8,759	-0,198	-1,658
-9,931	1,73	1,507
-14,37	1,971	-1,925
-10,94	-3,523	2,154
-9,26	-1,128	1,011
-7,412	-1,074	0,592
-7,653	-1,699	-0,601
-11,461	-1,845	0,233
-12,677	-3,541	2,496
-12,192	1,141	1,895
-10,047	-3,033	2,068
-8,047	-0,996	0,03
-8,237	-0,504	-0,948
-11,425	2,151	-0,167
-12,588	1,005	-0,556
-13,028	-2,869	0,086
-8,502	0,138	1,482
-6,558	-0,852	0,572
-8,551	-1,014	-2,256
-10,844	-3,768	0,863
-11,61	-5,043	3,272
-11,274	0,401	1,867
-9,984	-2,855	0,717
-8,595	-0,108	-0,171
-8,904	-0,269	-1,223
-9,863	1,113	1,477
-13,728	2,166	2,851
-11,177	-3,612	0,708
-10,516	-0,731	1,018
-8,56	-1,672	1,191
-8,719	-1,262	-0,31
-9,868	-1,251	-0,361
-12,498	-1,263	-0,348
-11,843	1,419	3,153
-10,27	-2,041	0,995
-9,476	-0,624	1,154
-9,909	-1,826	-0,23
-11,134	0,847	0,531
-10,52	-1,002	0,805
-9,701	-1,12	1,407
-9,741	-1,351	1,315
-9,887	-1,233	1,399
-10,451	-1,96	1,278
-10,519	-1,267	1,231
-9,961	-1,118	1,324
-9,779	-1,427	1,351
-10,383	-2,156	0,908
-9,896	-1,622	0,94
-10,039	-1,273	1,076
-10,225	-1,196	0,958
-10,082	-1,812	1,049
-10,006	-1,392	0,75
-10,195	-1,546	0,581
-10,342	-1,734	0,85
-10,006	-1,392	0,75
-10,191	-1,504	0,903
-9,971	-1,433	0,589
}

obrot
{
-10,115	-1,275	0,875
-10,048	-1,663	0,576
-9,97	-1,774	1,092
-9,823	-1,662	0,859
-10,004	-1,543	1,103
-10,406	-1,229	1,355
-9,854	-1,466	1,228
-9,721	0,306	1,678
-11,287	-1,25	2,145
-10,824	-1,729	0,845
-10,391	0,804	0,816
-10,421	0,736	1,613
-9,196	0,079	2,512
-9,036	-2,842	2,928
-12,474	0,817	-0,044
-10,927	-3,928	0,094
-10,24	-1,629	-0,104
-8,642	-2,135	0,927
-9,68	-2,697	1,408
-10,673	-3,671	2,99
-8,424	-0,354	2,378
-10,383	0,698	1,771
-10,006	-1,049	0,447
-10,258	-1,04	1,165
-9,022	-0,657	2,197
-10,599	-0,968	0,326
-10,409	-0,888	0,772
-9,744	-1,049	0,77
-9,888	-1,158	1,203
}

chodzenie
{
-9,888	-1,158	1,203
-9,512	-0,852	1,462
-10,496	-2,043	0,593
-9,688	-2,249	0,071
-9,461	-1,675	-0,018
-9,404	-3,253	-0,097
-11,218	-2,282	-0,986
-12,235	-4,461	3,215
-9,013	-1,296	3,685
-8,79	-2,629	1,421
-8,919	-0,362	1,013
-8,903	-0,688	-0,763
-8,699	1,232	2,935
-13,11	1,273	-1,187
-8,88	-2,835	3,729
-9,889	-0,968	0,973
-7,782	-1,374	0,973
-7,692	-1,624	-0,878
-9,663	0,48	-0,153
-13,054	-4,189	-1,22
-9,958	1,093	3,155
-8,713	-3,731	2,846
-7,516	0,115	0,091
-9,878	-0,499	-2,084
-12,057	1,661	-3,678
-10,163	-0,906	3,133
-12,208	-1,653	-0,605
-6,656	0,229	0,825
-7,629	-2,778	-0,855
-11,176	-1,821	-1,003
-12,432	-4,128	1,709
-10,878	-0,719	1,855
-6,429	-1,901	3,441
-7,787	-0,351	-0,575
-10,704	-1,492	-2,262
-14,851	1,1	-1,054
-11,8	-2,458	3,919
-10,256	-0,39	0,718
-6,999	-0,273	0,356
-7,258	-1,754	-1,84
-11,958	-3,607	0,42
-12,171	-5,614	3,318
-11,595	-1,03	0,833
-9,092	-2,174	0,4
-8,015	-1,268	-0,184
-10,579	-0,565	-1,734
-14,386	0,584	-2,115
-9,047	-1,331	4,003
-9,588	-0,281	0,73
-8,889	-1,664	1,628
-8,236	-1,227	-0,184
-9,68	-0,298	-0,992
-11,332	-2,625	-4,645
-11,673	-1,263	4,38
-9,123	-0,684	3,235
-9,111	-1,471	1,475
-8,805	-0,664	1,679
-10,385	0,239	1,988
-9,319	-0,198	1,617
-10,485	-1,347	0,988
-9,855	-1,2	0,881
-10,374	-1,615	1,216
-9,855	-1,466	1,188
-10,037	-1,234	1,198
-10,003	-1,237	0,958
-10,187	-1,081	0,924
-10,185	-0,965	1,01
-10,152	-1,351	0,951
-10,181	-0,885	1,294
}

obrot
{
-10,04	-1,16	0,842
-10,116	-1,313	0,873
-9,926	-1,082	1,087
-10,148	-1,08	1,125
-10,339	-1,464	0,943
-10,221	-1,116	1,282
-9,922	-1,154	1,563
-9,957	-1,342	1,953
-9,342	0,272	2,52
-9,495	-1,33	3,679
-11,906	-2,412	0,72
-9,661	-0,47	1,08
-10,264	1,276	1,961
-8,997	1,728	2,236
-10,079	-1,276	0,795
-9,351	-2,858	1,044
-11,504	-4,591	-1,385
-10,835	-1,626	-0,35
-9,074	-1,89	1,895
-9,338	-2,121	1,641
-9,827	-2,504	1,297
-10,172	-1,676	3,014
-10,068	-0,389	1,04
-10,947	0,277	1,344
-10,193	-1,468	0,705
-9,728	-0,424	1,682
-10,281	-0,53	2,071
-10,155	-1,125	0,402
-9,741	-1,046	1,05
-10,366	-0,655	1,064
-9,78	-1,315	1,076
-10,07	-0,658	1,066
-9,997	-0,774	1,061
-10,225	-1,005	0,767
-9,929	-1,2	0,881
-10,186	-0,966	0,93
-9,966	-1,161	0,882
-10,075	-0,701	0,584
}
